lottoDateTh,lottoDateEn,drawNumber,drawType
25340801,19910801,509,3
25340801,19910801,753,4
25340801,19910801,947,5
25340801,19910801,11,6
25340816,19910816,3746551,1
25340816,19910816,845,2
25340816,19910816,377,3
25340816,19910816,044,4
25340816,19910816,182,5
25340816,19910816,89,6
25340901,19910901,6700430,1
25340901,19910901,081,2
25340901,19910901,237,3
25340901,19910901,661,4
25340901,19910901,119,5
25340901,19910901,49,6
25340916,19910916,4790449,1
25340916,19910916,114,2
25340916,19910916,298,3
25340916,19910916,220,4
25340916,19910916,381,5
25340916,19910916,18,6
25341001,19911001,2730444,1
25341001,19911001,978,2
25341001,19911001,318,3
25341001,19911001,977,4
25341001,19911001,928,5
25341001,19911001,96,6
25341016,19911016,2078202,1
25341016,19911016,585,2
25341016,19911016,566,3
25341016,19911016,338,4
25341016,19911016,314,5
25341016,19911016,38,6
25341101,19911101,7894285,1
25341101,19911101,516,2
25341101,19911101,537,3
25341101,19911101,183,4
25341101,19911101,272,5
25341101,19911101,78,6
25341116,19911116,4373528,1
25341116,19911116,979,2
25341116,19911116,477,3
25341116,19911116,937,4
25341116,19911116,643,5
25341116,19911116,08,6
25341201,19911201,1470741,1
25341201,19911201,540,2
25341201,19911201,794,3
25341201,19911201,006,4
25341201,19911201,602,5
25341201,19911201,05,6
25341216,19911216,7241436,1
25341216,19911216,613,2
25341216,19911216,667,3
25341216,19911216,717,4
25341216,19911216,597,5
25341216,19911216,88,6
25341230,19911230,3208301,1
25341230,19911230,318,2
25341230,19911230,087,3
25341230,19911230,182,4
25341230,19911230,917,5
25341230,19911230,76,6
25350116,19920116,1149428,1
25350116,19920116,034,2
25350116,19920116,543,3
25350116,19920116,672,4
25350116,19920116,132,5
25350116,19920116,18,6
25350201,19920201,5986924,1
25350201,19920201,936,2
25350201,19920201,952,3
25350201,19920201,683,4
25350201,19920201,944,5
25350201,19920201,63,6
25350216,19920216,1868701,1
25350216,19920216,641,2
25350216,19920216,849,3
25350216,19920216,349,4
25350216,19920216,599,5
25350216,19920216,94,6
25350301,19920301,7291524,1
25350301,19920301,870,2
25350301,19920301,902,3
25350301,19920301,024,4
25350301,19920301,231,5
25350301,19920301,60,6
25350316,19920316,1218353,1
25350316,19920316,004,2
25350316,19920316,578,3
25350316,19920316,543,4
25350316,19920316,737,5
25350316,19920316,48,6
25350401,19920401,2244704,1
25350401,19920401,624,2
25350401,19920401,863,3
25350401,19920401,013,4
25350401,19920401,242,5
25350401,19920401,03,6
25350416,19920416,2699374,1
25350416,19920416,836,2
25350416,19920416,662,3
25350416,19920416,139,4
25350416,19920416,325,5
25350416,19920416,10,6
25350502,19920502,5765397,1
25350502,19920502,079,2
25350502,19920502,444,3
25350502,19920502,732,4
25350502,19920502,104,5
25350502,19920502,86,6
25350516,19920516,2827496,1
25350516,19920516,333,2
25350516,19920516,738,3
25350516,19920516,246,4
25350516,19920516,890,5
25350516,19920516,59,6
25350601,19920601,5184191,1
25350601,19920601,169,2
25350601,19920601,351,3
25350601,19920601,245,4
25350601,19920601,729,5
25350601,19920601,29,6
25350616,19920616,5569432,1
25350616,19920616,392,2
25350616,19920616,880,3
25350616,19920616,914,4
25350616,19920616,221,5
25350616,19920616,92,6
25350701,19920701,5119968,1
25350701,19920701,999,2
25350701,19920701,813,3
25350701,19920701,561,4
25350701,19920701,702,5
25350701,19920701,56,6
